host,ip,service,occurences,country,region,city,lat,lon,timelog
ns1,125.88.177.87,ssh,5,CN,Guangdong,Guangzhou,23.116699,113.250000,2016-02-06 18:20:53<br/>2016-02-06 19:00:16<br/>2016-02-06 20:31:27<br/>2016-02-06 22:43:38<br/>2016-02-07 00:15:18<br/>
ns1,125.88.177.87,recidive,1,CN,Guangdong,Guangzhou,23.116699,113.250000,2016-02-07 00:15:19<br/>
ns1,5.189.142.2,cgpro-sip-100,2,DE,unknown,unknown,51.000000,9.000000,2016-01-31 08:02:12<br/>2016-02-03 06:51:21<br/>
ns1,66.190.127.102,cgpro-smtp,21,US,Alabama,Birmingham,33.420101,-86.786697,2016-01-31 17:34:07<br/>2016-01-31 17:50:00<br/>2016-01-31 18:05:50<br/>2016-01-31 18:21:37<br/>2016-01-31 18:37:24<br/>2016-02-02 01:01:00<br/>2016-02-02 01:17:00<br/>2016-02-02 01:32:57<br/>2016-02-02 01:48:55<br/>2016-02-02 02:04:50<br/>2016-02-04 01:06:14<br/>2016-02-04 01:22:19<br/>2016-02-04 01:38:13<br/>2016-02-04 01:54:12<br/>2016-02-04 02:10:08<br/>2016-02-06 01:15:13<br/>2016-02-06 01:31:37<br/>2016-02-06 01:48:01<br/>2016-02-06 02:03:59<br/>2016-02-06 02:19:59<br/>2016-02-06 19:01:00<br/>
ns1,66.190.127.102,recidive,9,US,Alabama,Birmingham,33.420101,-86.786697,2016-01-31 18:37:26<br/>2016-02-01 00:15:11<br/>2016-02-02 02:04:52<br/>2016-02-03 00:15:13<br/>2016-02-04 02:10:11<br/>2016-02-05 00:15:15<br/>2016-02-06 02:20:01<br/>2016-02-06 19:00:03<br/>2016-02-07 00:15:17<br/>
ns1,209.239.112.201,cgpro-sip-100,5,US,Missouri,Saint Louis,38.631199,-90.192200,2016-01-31 07:17:51<br/>2016-02-02 15:02:19<br/>2016-02-04 08:30:47<br/>2016-02-06 09:14:23<br/>2016-02-06 19:00:59<br/>
ns1,188.138.41.149,cgpro-sip-100,3,DE,unknown,unknown,51.000000,9.000000,2016-01-31 21:56:15<br/>2016-02-03 08:21:42<br/>2016-02-05 22:08:24<br/>
ns1,23.239.65.82,cgpro-sip-invite,1,US,unknown,unknown,38.000000,-97.000000,2016-02-01 08:43:20<br/>
ns1,209.126.110.253,cgpro-sip-100,1,US,Missouri,Saint Louis,38.631199,-90.192200,2016-02-01 13:43:57<br/>
ns1,208.73.206.244,cgpro-sip-100,7,US,New Jersey,Secaucus,40.780102,-74.063301,2016-02-01 09:08:21<br/>2016-02-02 04:39:12<br/>2016-02-03 07:52:36<br/>2016-02-04 04:50:11<br/>2016-02-05 04:38:44<br/>2016-02-06 07:55:36<br/>2016-02-06 19:00:59<br/>
ns1,199.217.115.229,cgpro-sip-100,4,US,Missouri,Saint Louis,38.631199,-90.192200,2016-02-01 04:37:20<br/>2016-02-05 21:05:41<br/>2016-02-06 16:18:49<br/>2016-02-06 19:00:59<br/>
ns1,149.202.43.44,ssh,4,FR,unknown,unknown,48.860001,2.350000,2016-02-04 14:49:53<br/>2016-02-04 15:06:24<br/>2016-02-04 15:21:55<br/>2016-02-05 00:15:16<br/>
ns1,209.126.101.29,cgpro-sip-100,1,US,Missouri,Saint Louis,38.631199,-90.192200,2016-02-02 14:35:02<br/>
ns1,122.116.240.58,cgpro-smtp,5,TW,unknown,unknown,23.500000,121.000000,2016-02-06 17:01:53<br/>2016-02-06 19:01:00<br/>2016-02-06 19:25:41<br/>2016-02-06 22:08:10<br/>2016-02-06 22:22:50<br/>
ns1,122.116.240.58,recidive,2,TW,unknown,unknown,23.500000,121.000000,2016-02-06 22:22:52<br/>2016-02-07 00:15:17<br/>
ns1,199.189.86.6,cgpro-sip-100,5,US,Missouri,Saint Louis,38.631199,-90.192200,2016-02-04 03:26:44<br/>2016-02-05 08:00:45<br/>2016-02-06 08:34:00<br/>2016-02-06 19:01:00<br/>2016-02-07 02:52:33<br/>
ns1,69.197.181.146,cgpro-sip-100,1,US,Missouri,Kansas City,39.106800,-94.566002,2016-02-01 03:09:55<br/>
ns1,104.43.192.41,cgpro-sip-invite,3,US,Washington,Redmond,47.680099,-122.120598,2016-02-05 13:51:42<br/>2016-02-06 01:08:17<br/>2016-02-06 19:01:00<br/>
ns1,195.154.237.49,cgpro-sip-invite,1,KP,P'yongyang-si,Pyongyang,39.019402,125.754700,2016-02-01 08:02:10<br/>
ns1,69.64.57.36,cgpro-sip-100,3,US,Missouri,Saint Louis,38.631199,-90.192200,2016-02-05 03:13:58<br/>2016-02-06 05:43:53<br/>2016-02-06 19:01:00<br/>
ns1,23.91.70.171,cgpro-smtp,4,US,unknown,unknown,38.000000,-97.000000,2016-02-04 17:25:46<br/>2016-02-04 18:11:44<br/>2016-02-05 19:57:21<br/>2016-02-05 21:51:49<br/>
ns1,209.126.122.32,cgpro-sip-100,1,US,Missouri,Saint Louis,38.631199,-90.192200,2016-02-04 14:44:52<br/>
ns1,89.163.140.250,cgpro-sip-invite,1,DE,unknown,unknown,51.000000,9.000000,2016-02-07 03:15:37<br/>
ns1,5.56.58.118,cgpro-smtp,2,ES,unknown,unknown,40.400002,-3.683300,2016-02-04 02:01:57<br/>2016-02-04 02:43:07<br/>
ns1,93.104.213.108,cgpro-sip-100,1,DE,unknown,unknown,51.000000,9.000000,2016-02-01 01:42:27<br/>
ns1,117.4.241.129,ssh,2,VN,Ha Noi,Hanoi,21.033300,105.849998,2016-02-02 22:59:14<br/>2016-02-03 00:15:14<br/>
ns1,209.126.124.67,cgpro-sip-100,2,US,Missouri,Saint Louis,38.631199,-90.192200,2016-02-02 15:03:35<br/>2016-02-03 16:17:52<br/>
ns1,85.114.132.42,cgpro-sip-invite,5,DE,unknown,unknown,51.000000,9.000000,2016-02-01 06:31:46<br/>2016-02-02 02:32:57<br/>2016-02-03 02:01:10<br/>2016-02-06 02:41:11<br/>2016-02-06 19:01:00<br/>
ns1,74.208.146.43,cgpro-sip-100,1,US,Pennsylvania,Wayne,40.054798,-75.408302,2016-02-03 21:26:23<br/>
ns1,74.208.99.34,cgpro-sip-100,1,US,Pennsylvania,Wayne,40.054798,-75.408302,2016-02-03 15:04:49<br/>
ns1,218.95.228.109,cgpro-sip-100,1,CN,Qinghai,Xining,36.616699,101.766701,2016-02-02 03:06:42<br/>
ns1,209.239.123.101,cgpro-sip-100,5,US,Missouri,Saint Louis,38.631199,-90.192200,2016-01-31 13:41:58<br/>2016-02-01 01:47:09<br/>2016-02-04 21:07:32<br/>2016-02-06 16:12:12<br/>2016-02-06 19:00:59<br/>
ns1,85.25.194.45,cgpro-sip-invite,1,DE,unknown,unknown,51.000000,9.000000,2016-02-01 01:04:39<br/>
ns1,221.194.57.246,ssh,19,CN,Hebei,Hebei,39.889702,115.275002,2016-01-31 09:17:10<br/>2016-01-31 20:02:56<br/>2016-02-01 00:15:12<br/>2016-02-01 10:14:57<br/>2016-02-02 00:16:13<br/>2016-02-02 07:33:35<br/>2016-02-02 18:30:43<br/>2016-02-03 00:15:13<br/>2016-02-03 08:39:42<br/>2016-02-03 23:03:32<br/>2016-02-04 00:16:16<br/>2016-02-04 13:32:43<br/>2016-02-05 00:15:16<br/>2016-02-05 10:57:05<br/>2016-02-05 21:42:10<br/>2016-02-06 00:15:16<br/>2016-02-06 08:19:18<br/>2016-02-06 19:00:15<br/>2016-02-07 00:15:18<br/>
